image_path,label
good_images\100_1_0_20170110183726390.jpg.chip.jpg,Good
bad_images\bad_100_1_0_20170110183726390.jpg.chip.jpg,Bad
good_images\100_1_2_20170105174847679.jpg.chip.jpg,Good
bad_images\bad_100_1_2_20170105174847679.jpg.chip.jpg,Bad
good_images\101_1_2_20170105174739309.jpg.chip.jpg,Good
bad_images\bad_101_1_2_20170105174739309.jpg.chip.jpg,Bad
good_images\10_0_0_20161220222308131.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20161220222308131.jpg.chip.jpg,Bad
good_images\10_0_0_20170103200329407.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170103200329407.jpg.chip.jpg,Bad
good_images\10_0_0_20170103200522151.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170103200522151.jpg.chip.jpg,Bad
good_images\10_0_0_20170103233459275.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170103233459275.jpg.chip.jpg,Bad
good_images\10_0_0_20170104013211746.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170104013211746.jpg.chip.jpg,Bad
good_images\10_0_0_20170110215927291.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110215927291.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220033115.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220033115.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220111082.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220111082.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220235233.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220235233.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220251986.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220251986.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220255346.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220255346.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220316298.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220316298.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220403810.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220403810.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220447314.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220447314.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220503946.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220503946.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220514186.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220514186.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220530650.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220530650.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220539329.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220539329.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220541850.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220541850.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220546177.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220546177.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220548521.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220548521.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220557169.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220557169.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220644705.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220644705.jpg.chip.jpg,Bad
good_images\10_0_0_20170110220654150.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110220654150.jpg.chip.jpg,Bad
good_images\10_0_0_20170110221714752.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110221714752.jpg.chip.jpg,Bad
good_images\10_0_0_20170110221719390.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110221719390.jpg.chip.jpg,Bad
good_images\10_0_0_20170110221811823.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110221811823.jpg.chip.jpg,Bad
good_images\10_0_0_20170110224223937.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110224223937.jpg.chip.jpg,Bad
good_images\10_0_0_20170110224238891.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110224238891.jpg.chip.jpg,Bad
good_images\10_0_0_20170110224253445.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110224253445.jpg.chip.jpg,Bad
good_images\10_0_0_20170110224255796.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110224255796.jpg.chip.jpg,Bad
good_images\10_0_0_20170110224402264.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110224402264.jpg.chip.jpg,Bad
good_images\10_0_0_20170110224406532.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110224406532.jpg.chip.jpg,Bad
good_images\10_0_0_20170110224416035.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110224416035.jpg.chip.jpg,Bad
good_images\10_0_0_20170110224500062.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110224500062.jpg.chip.jpg,Bad
good_images\10_0_0_20170110224524253.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110224524253.jpg.chip.jpg,Bad
good_images\10_0_0_20170110224549512.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110224549512.jpg.chip.jpg,Bad
good_images\10_0_0_20170110224725285.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110224725285.jpg.chip.jpg,Bad
good_images\10_0_0_20170110224757882.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110224757882.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225013755.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225013755.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225035898.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225035898.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225227587.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225227587.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225243501.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225243501.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225246490.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225246490.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225252799.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225252799.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225402690.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225402690.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225414790.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225414790.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225417177.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225417177.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225421531.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225421531.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225442428.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225442428.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225444491.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225444491.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225451638.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225451638.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225502403.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225502403.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225505288.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225505288.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225518663.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225518663.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225528484.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225528484.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225537307.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225537307.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225546130.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225546130.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225557604.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225557604.jpg.chip.jpg,Bad
good_images\10_0_0_20170110225601897.jpg.chip.jpg,Good
bad_images\bad_10_0_0_20170110225601897.jpg.chip.jpg,Bad
good_images\10_0_1_20170104010841239.jpg.chip.jpg,Good
bad_images\bad_10_0_1_20170104010841239.jpg.chip.jpg,Bad
good_images\10_0_1_20170110220507258.jpg.chip.jpg,Good
bad_images\bad_10_0_1_20170110220507258.jpg.chip.jpg,Bad
good_images\10_0_1_20170110220523360.jpg.chip.jpg,Good
bad_images\bad_10_0_1_20170110220523360.jpg.chip.jpg,Bad
good_images\10_0_1_20170110223455893.jpg.chip.jpg,Good
bad_images\bad_10_0_1_20170110223455893.jpg.chip.jpg,Bad
good_images\10_0_1_20170110223848885.jpg.chip.jpg,Good
bad_images\bad_10_0_1_20170110223848885.jpg.chip.jpg,Bad
good_images\10_0_1_20170110225121326.jpg.chip.jpg,Good
bad_images\bad_10_0_1_20170110225121326.jpg.chip.jpg,Bad
good_images\10_0_1_20170110225339066.jpg.chip.jpg,Good
bad_images\bad_10_0_1_20170110225339066.jpg.chip.jpg,Bad
good_images\10_0_2_20170110224230094.jpg.chip.jpg,Good
bad_images\bad_10_0_2_20170110224230094.jpg.chip.jpg,Bad
good_images\10_0_3_20161220215952636.jpg.chip.jpg,Good
bad_images\bad_10_0_3_20161220215952636.jpg.chip.jpg,Bad
good_images\10_0_3_20170104225233504.jpg.chip.jpg,Good
bad_images\bad_10_0_3_20170104225233504.jpg.chip.jpg,Bad
good_images\10_0_3_20170104225238736.jpg.chip.jpg,Good
bad_images\bad_10_0_3_20170104225238736.jpg.chip.jpg,Bad
good_images\10_0_3_20170105175322885.jpg.chip.jpg,Good
bad_images\bad_10_0_3_20170105175322885.jpg.chip.jpg,Bad
good_images\10_0_4_20161221192738446.jpg.chip.jpg,Good
bad_images\bad_10_0_4_20161221192738446.jpg.chip.jpg,Bad
good_images\10_0_4_20170103200335831.jpg.chip.jpg,Good
bad_images\bad_10_0_4_20170103200335831.jpg.chip.jpg,Bad
good_images\10_0_4_20170103200409638.jpg.chip.jpg,Good
bad_images\bad_10_0_4_20170103200409638.jpg.chip.jpg,Bad
good_images\10_0_4_20170103200443015.jpg.chip.jpg,Good
bad_images\bad_10_0_4_20170103200443015.jpg.chip.jpg,Bad
good_images\10_0_4_20170103200501766.jpg.chip.jpg,Good
bad_images\bad_10_0_4_20170103200501766.jpg.chip.jpg,Bad
good_images\10_0_4_20170103201924664.jpg.chip.jpg,Good
bad_images\bad_10_0_4_20170103201924664.jpg.chip.jpg,Bad
good_images\10_0_4_20170103202338152.jpg.chip.jpg,Good
bad_images\bad_10_0_4_20170103202338152.jpg.chip.jpg,Bad
good_images\10_0_4_20170103212521420.jpg.chip.jpg,Good
bad_images\bad_10_0_4_20170103212521420.jpg.chip.jpg,Bad
good_images\10_0_4_20170103223451479.jpg.chip.jpg,Good
bad_images\bad_10_0_4_20170103223451479.jpg.chip.jpg,Bad
good_images\10_0_4_20170104010810728.jpg.chip.jpg,Good
bad_images\bad_10_0_4_20170104010810728.jpg.chip.jpg,Bad
